"Referencia","Designação","Cor","Tamanho","EAN","PVP","Stock","Posição Grelha","Data da exportação"
"588915703-5","Kia","411","M","3571398795566984","€55,16","49","2","2019-04-26 05:35:51"
"332638907-8","Lincoln","72","M","3585497769631065","€95,59","2","1","2019-04-26 06:16:20"
"072724210-5","Honda","758","2XL","4903674460314135585","€4,40","16","2","2019-05-02 20:05:58"
"846824214-4","GMC","267","S","345984381202547","€90,30","118","2","2019-05-01 21:59:09"
"128617871-1","Kia","150","L","6394275550485642","€2,18","70","2","2019-04-05 11:53:57"
"832647538-6","Mercedes-Benz","9","XS","5532175155619360","€63,40","41","1","2019-04-07 12:03:25"
"281225588-9","BMW","790","2XL","3565004476733921","€80,30","78","1","2019-04-24 15:00:06"
"961102651-X","Jeep","992","XS","5010123191359329","€85,34","123","1","2019-04-24 12:51:29"
"897802158-1","Toyota","577","2XL","3569429538179530","€74,59","117","3","2019-04-01 17:55:56"
"177376977-4","Volvo","170","M","3567735050030949","€94,44","22","3","2019-04-12 05:26:13"
"052754437-X","Hyundai","299","XS","3538842874184393","€95,39","16","3","2019-05-02 09:24:07"
"409445907-3","Kia","705","XS","30255744569256","€47,20","91","2","2019-04-30 14:59:34"
"300428979-2","Jeep","17","L","5020532110680383","€23,27","4","2","2019-04-19 01:49:02"
"117810259-9","Ford","828","M","340317055671637","€82,72","5","1","2019-04-30 22:56:31"
"385335865-9","Porsche","672","XL","5100170478140964","€23,69","105","3","2019-04-11 00:46:43"
"467258973-0","Pontiac","605","M","3586433260113930","€75,50","63","3","2019-04-13 21:26:09"
"686092287-7","Chevrolet","254","S","3547035302337944","€67,03","123","2","2019-04-21 16:08:26"
"717556354-X","Lamborghini","645","XL","3583539025122256","€86,48","62","3","2019-04-01 19:32:59"
"738927103-5","Subaru","991","L","3576771106661527","€20,34","99","3","2019-04-21 23:19:00"
"164703084-6","Infiniti","207","M","4917069100483147","€82,23","120","3","2019-04-27 06:38:15"
"763792206-5","Plymouth","400","S","4903739745293699","€21,59","111","3","2019-04-04 08:12:45"
"751641446-8","Cadillac","601","S","589322575200743494","€77,96","135","3","2019-04-23 15:25:30"
"363919155-2","GMC","666","S","6333526222014829919","€22,48","38","3","2019-04-25 07:56:22"
"163184204-8","Audi","542","2XL","201502599417518","€72,82","74","3","2019-04-17 01:44:20"
"875352429-2","Jaguar","156","2XL","4175009304151600","€11,60","5","2","2019-04-10 06:03:56"
"049274972-8","Suzuki","496","L","30194950156526","€30,57","95","3","2019-04-04 14:51:22"
"322549098-9","Suzuki","137","2XL","6767684215214868379","€87,59","74","1","2019-04-29 08:02:03"
"493730824-6","Lotus","518","M","5602249264678917080","€92,14","51","2","2019-04-08 21:00:57"
"681852601-2","Hyundai","761","M","4905587266070782","€45,06","12","1","2019-04-21 01:38:11"
"760116058-0","BMW","294","XL","5010129930693746","€18,87","49","2","2019-05-02 00:21:09"
"003462258-6","MINI","231","L","374622790442569","€54,90","42","3","2019-04-17 13:14:31"
"787253952-7","MINI","268","L","3547096311374252","€81,29","55","1","2019-04-01 22:21:27"
"454477368-7","Jaguar","464","3XL","3559093902517808","€67,97","123","2","2019-04-28 08:22:49"
"104440976-2","Hyundai","832","2XL","374622969685246","€30,28","122","3","2019-04-27 09:52:13"
"267108713-6","Ford","677","M","201974936909475","€65,46","76","1","2019-04-29 10:55:58"
"466708859-1","Nissan","136","L","3542559574377150","€30,46","15","2","2019-04-18 23:55:11"
"303734342-7","Acura","840","2XL","5893032685980692","€82,03","111","1","2019-04-07 17:43:50"
"561315772-3","Volkswagen","550","L","6394927666353433","€35,22","45","1","2019-04-17 08:28:26"
"785525330-0","Cadillac","335","XL","4405717485799037","€71,60","64","3","2019-04-17 13:25:46"
"263904690-X","Spyker","887","XL","3585536316558345","€5,14","142","3","2019-04-04 11:28:43"
"495703822-8","Land Rover","175","XL","3575591769893550","€56,30","51","2","2019-04-16 11:02:44"
"615024013-4","Infiniti","120","XS","3543438102137130","€25,93","126","2","2019-04-18 19:00:30"
"745142930-X","BMW","538","XS","3564656863561099","€56,62","53","2","2019-04-24 10:11:00"
"030206859-7","Volkswagen","934","2XL","6763153139563717113","€72,09","117","1","2019-04-29 05:50:22"
"560944114-5","Pontiac","158","M","589381997987455811","€68,26","72","2","2019-04-11 21:36:37"
"340534637-1","Ram","901","M","3555551596644570","€91,09","98","3","2019-04-28 15:42:09"
"918171749-0","Ford","219","XS","3539730288174846","€95,96","137","2","2019-04-14 01:15:20"
"602052344-6","Porsche","614","L","201662621137565","€57,46","92","2","2019-04-19 11:37:24"
"080648675-9","BMW","591","3XL","5007667401111362","€73,82","104","1","2019-04-18 12:36:11"
"638418445-1","Buick","38","3XL","3557549905677610","€79,33","141","1","2019-04-06 21:09:02"
"880072213-X","Ford","102","M","201490409517687","€71,18","25","3","2019-04-11 23:25:29"
"336596762-1","Cadillac","310","XS","3568213417052443","€30,64","96","1","2019-04-10 20:33:41"
"079070201-0","Lincoln","220","3XL","5610139501070921","€21,86","77","1","2019-05-02 01:14:49"
"349975211-5","Subaru","589","XL","30140344853617","€19,98","64","3","2019-04-15 05:58:02"
"600245621-X","Mazda","657","XS","3541432090456562","€39,01","37","3","2019-04-01 22:48:23"
"335306032-4","Kia","557","3XL","5288682263330695","€54,52","54","1","2019-04-14 10:02:43"
"550305377-X","GMC","352","2XL","3562823654726990","€20,63","114","3","2019-04-18 12:46:20"
"665223775-X","Pontiac","146","M","5100171865798612","€97,54","104","3","2019-04-06 13:04:02"
"769657172-9","Isuzu","429","M","3536889581163303","€14,28","32","1","2019-04-18 11:58:53"
"256968011-7","Buick","390","XS","6706294594390568197","€39,19","29","3","2019-04-06 06:47:14"
"543205623-2","Jaguar","226","M","4911578361234831784","€55,89","81","1","2019-04-11 14:28:56"
"063998989-6","Nissan","72","3XL","3564928210959148","€20,03","104","3","2019-04-08 09:48:53"
"141147200-4","Subaru","112","XL","3576620117280183","€4,12","71","2","2019-04-17 19:47:46"
"916195784-4","Mitsubishi","440","L","3531146774753530","€6,02","108","2","2019-04-05 23:57:24"
"817968161-0","Isuzu","950","L","675939432484208954","€97,74","20","2","2019-04-29 11:33:25"
"914542938-3","Nissan","867","XL","4017957014939","€50,29","132","1","2019-04-05 19:46:14"
"419956951-0","Toyota","974","2XL","3581115214651330","€76,78","113","1","2019-05-01 02:11:04"
"209829500-6","GMC","824","3XL","3574910235119658","€49,67","78","1","2019-04-23 01:20:10"
"415714390-6","Lamborghini","559","S","3561946161045207","€10,13","27","3","2019-04-09 04:57:21"
"128150256-1","Honda","256","2XL","6331109136126306989","€79,78","36","1","2019-04-15 16:39:58"
"881863459-3","Chrysler","929","M","6762381931525387035","€2,43","54","2","2019-04-01 05:35:43"
"612849700-4","BMW","487","3XL","3572706096555754","€19,22","114","1","2019-04-15 15:45:10"
"506560929-2","Subaru","999","S","6386159862961914","€32,46","38","1","2019-04-29 04:34:18"
"736121474-6","Mercury","547","2XL","5148281188148777","€93,35","85","2","2019-04-28 23:16:49"
"411232923-7","Pontiac","881","XL","3558932650709623","€0,69","33","1","2019-04-29 19:46:37"
"283275239-X","Chevrolet","267","S","5602229724703679","€71,21","86","2","2019-04-12 22:19:40"
"740666517-2","Nissan","642","3XL","633110790284513257","€26,51","30","3","2019-04-14 01:53:14"
"619137256-6","Mitsubishi","607","XL","5602242397866343","€46,02","2","2","2019-04-17 22:20:23"
"181116951-1","Mercury","786","S","4041371966314062","€8,08","31","2","2019-04-12 15:46:26"
"513925680-0","Acura","449","S","3564941120741233","€7,52","148","3","2019-04-30 05:27:59"
"992705768-7","BMW","67","M","201667984606593","€69,24","147","3","2019-04-26 08:10:16"
"217140665-8","Volvo","460","M","4936690040350695","€59,97","30","2","2019-04-10 22:02:34"
"615516064-3","Saab","182","XS","3539762936860435","€92,45","114","1","2019-04-14 08:41:38"
"274547880-X","Toyota","155","M","3587821609469352","€22,20","44","1","2019-04-10 15:16:50"
"951573313-8","Rolls-Royce","541","M","3548854649330001","€35,09","84","1","2019-04-30 07:58:09"
"453929739-2","Chrysler","171","3XL","4508206990146195","€4,72","75","1","2019-04-15 00:34:56"
"420123100-3","BMW","273","S","5602220506317531","€52,80","67","2","2019-04-18 18:14:46"
"552412349-1","Chevrolet","496","S","5038663254691580019","€78,12","72","1","2019-04-09 05:38:13"
"775924610-2","Subaru","211","M","3552886879534343","€25,21","57","2","2019-04-13 19:17:50"
"960770418-5","Ford","371","XL","6762469905105232295","€45,56","56","3","2019-04-19 08:40:55"
"488738427-0","Toyota","547","XS","630403045571099268","€18,29","111","3","2019-04-17 08:03:10"
"689913198-6","Lincoln","740","3XL","560224993858738130","€40,87","150","2","2019-04-10 08:43:31"
"206361122-X","GMC","701","3XL","3573527574466218","€13,11","2","1","2019-04-17 23:13:25"
"835796748-5","Hyundai","907","L","5222342615595037","€95,17","105","2","2019-04-17 07:19:28"
"815639602-2","Volkswagen","742","L","56022463265046603","€57,10","119","3","2019-04-25 08:59:57"
"236347439-2","Volkswagen","317","S","3580889864873847","€14,29","125","1","2019-04-23 15:55:52"
"211480641-3","Audi","77","L","491147655757614918","€34,28","106","3","2019-04-16 00:35:04"
"320805493-9","Volkswagen","292","L","374283388579740","€84,72","35","1","2019-04-26 20:07:38"
"430558690-8","BMW","329","XL","340253710151592","€59,42","133","1","2019-04-01 19:29:01"
"229523919-2","Dodge","915","L","501899324618786979","€61,44","48","2","2019-04-04 16:29:48"
"007616740-2","Cadillac","719","L","3588342139697247","€9,02","128","2","2019-04-26 01:51:09"
"995944904-1","Isuzu","319","XL","3587535495494676","€36,48","55","1","2019-04-26 09:46:24"
"884063346-4","Pontiac","272","S","3548511375072039","€38,67","54","2","2019-04-09 11:05:21"
"403348889-8","Dodge","443","L","5010126004300422","€4,32","102","2","2019-04-28 20:36:12"
"524997583-6","Audi","966","L","5893454501610495","€90,50","72","3","2019-04-20 01:22:58"
"742915829-3","Lamborghini","752","2XL","3587520705858076","€10,55","99","3","2019-04-01 20:05:12"
"704054205-6","GMC","96","2XL","374288324209518","€78,63","86","2","2019-04-18 11:56:07"
"602244736-4","Toyota","386","XS","6334935614343102","€25,78","49","1","2019-04-04 21:46:24"
"317452114-9","Buick","869","2XL","3563073118473065","€46,54","51","2","2019-04-10 15:11:54"
"568102328-1","Chevrolet","820","2XL","5048371374807566","€39,60","20","2","2019-04-04 09:54:23"
"453001885-7","Infiniti","446","2XL","3576304074024815","€71,93","131","2","2019-04-24 19:26:02"
"334960778-0","Mazda","941","S","3563215106399204","€70,11","74","3","2019-05-01 17:06:09"
"611789796-0","Toyota","297","XL","3533390290317408","€32,46","12","2","2019-04-06 12:40:06"
"527481969-9","Pontiac","635","L","30341948773504","€31,43","49","1","2019-04-15 03:21:16"
"051596442-5","Volvo","596","XL","201875404518344","€0,32","73","2","2019-04-07 12:32:31"
"097871426-1","Pontiac","643","3XL","201898767330123","€80,98","65","1","2019-04-06 05:11:04"
"342188808-6","Audi","411","3XL","3559476669381437","€21,70","74","3","2019-04-20 20:51:49"
"475472741-X","Isuzu","534","XS","4041595522806","€58,99","13","1","2019-04-09 09:20:27"
"792646017-6","Buick","791","2XL","4913720843666836","€47,20","33","2","2019-04-10 16:35:55"
"214439752-X","Subaru","29","XS","5602257029690143","€12,09","131","3","2019-04-08 15:57:43"
"751675838-8","Hyundai","670","L","3584452792276181","€50,20","119","3","2019-04-08 12:25:40"
"525373447-3","Toyota","532","L","5298072180963919","€45,68","28","2","2019-04-02 15:12:14"
"849489070-0","Dodge","758","2XL","3577132937111084","€9,13","87","3","2019-04-07 22:04:58"
"941052954-9","Dodge","533","S","4405138933966427","€64,28","10","3","2019-04-04 00:44:45"
"781333900-2","Infiniti","226","XL","5610846975506384","€69,84","147","2","2019-04-06 20:42:33"
"943242010-8","Acura","220","S","5641826397997109317","€23,53","57","3","2019-04-04 20:43:06"
"666388907-9","Hyundai","926","XS","3547670891187746","€64,40","22","2","2019-04-30 13:37:19"
"156751780-3","Pontiac","89","S","6379554769466935","€64,80","34","1","2019-04-26 03:58:32"
"712869838-8","Jeep","807","L","5327221252940611","€52,13","5","1","2019-04-29 22:20:59"
"286290407-4","Jeep","386","2XL","5602233231478890","€50,32","88","1","2019-04-13 16:19:06"
"522591634-1","Audi","900","M","30347852588952","€42,53","75","1","2019-04-30 06:55:48"
"762857758-X","Dodge","471","XL","4917781341735628","€28,31","136","3","2019-04-26 01:22:25"
"546998901-1","Subaru","106","XL","3540188945483497","€21,94","95","2","2019-04-19 21:10:18"
"676327783-0","BMW","475","3XL","4844148360112584","€32,29","134","2","2019-04-13 17:24:03"
"785439325-7","Mercury","172","M","3563818279238529","€66,42","112","1","2019-04-24 16:36:37"
"084209620-5","Scion","695","3XL","6771338441964416100","€15,98","20","1","2019-05-02 12:35:33"
"084607729-9","Volvo","666","XS","3536801306183573","€34,31","128","2","2019-04-28 05:07:49"
"260021018-0","Mercedes-Benz","148","S","3588240171648500","€99,66","27","3","2019-04-12 02:26:03"
"905636830-3","Lincoln","448","3XL","6709473167547355","€87,90","73","2","2019-04-01 12:27:40"
"187753732-2","Infiniti","790","S","3574112477782687","€79,63","38","1","2019-04-16 12:46:23"
"298297642-0","GMC","954","3XL","5610396711092752","€11,60","24","2","2019-04-25 08:04:53"
"077188928-3","Pontiac","558","XL","30095594258752","€19,46","143","3","2019-04-07 11:51:03"
"886571662-2","Dodge","19","3XL","5448528174426899","€65,86","64","1","2019-04-23 16:12:56"
"493851261-0","Isuzu","675","2XL","3530021299788801","€2,49","39","3","2019-04-15 03:38:33"
"731756503-2","Buick","269","S","3561292090075449","€94,84","14","3","2019-05-01 11:25:51"
"898127527-0","Kia","381","L","06042128575085424","€8,66","99","1","2019-04-15 16:59:52"
"392932747-3","Suzuki","143","S","4041592907654809","€84,88","45","3","2019-04-11 19:32:05"
"352964150-2","Land Rover","212","3XL","6334491547113279","€49,29","53","3","2019-04-27 03:45:17"
"456923049-0","Audi","985","S","4844543844913419","€86,53","133","1","2019-04-10 22:16:39"
"649642344-X","Honda","703","3XL","58935850426943334","€6,02","94","2","2019-04-18 05:11:39"
"790270920-4","Acura","120","XL","374283039336086","€24,81","143","3","2019-04-16 16:41:08"
"983055539-9","Infiniti","916","L","4905022054317880","€54,59","107","1","2019-04-05 07:37:13"
"537646161-0","Isuzu","92","XL","4405444303249075","€46,10","111","3","2019-04-08 07:34:02"
"378626035-4","BMW","477","L","3557838537655486","€22,34","64","3","2019-04-13 10:24:34"
"692954198-2","Suzuki","223","M","5529988217084232","€51,60","72","1","2019-04-15 22:57:49"
"944461086-1","Mercury","673","2XL","30414867653112","€14,33","47","3","2019-04-18 11:52:39"
"573667787-3","Mitsubishi","789","3XL","3570589981213834","€20,13","133","2","2019-04-19 07:41:24"
"694663310-5","Alfa Romeo","262","L","5020868943592085612","€44,34","44","3","2019-04-13 12:10:34"
"714518015-4","Hyundai","242","2XL","3575530089090851","€75,13","120","1","2019-04-22 10:43:51"
"395932284-4","Lexus","415","XL","3585325583930142","€52,59","66","1","2019-04-28 17:24:36"
"959197120-6","Pontiac","228","L","3565268660375597","€61,56","61","2","2019-04-08 20:00:06"
"414474736-0","Volvo","109","L","201670996915689","€17,16","88","3","2019-04-17 07:46:24"
"987938180-7","Buick","656","L","6706712588364112192","€96,57","41","1","2019-04-10 16:04:05"
"140205537-4","GMC","173","M","30536928799953","€17,12","82","2","2019-04-12 17:33:36"
"031095912-8","Saab","125","S","490367821804087871","€64,08","66","1","2019-04-05 05:53:44"
"791858414-7","Chevrolet","640","3XL","3552381816505424","€75,38","134","3","2019-04-12 10:10:07"
"720144931-1","Chevrolet","837","2XL","201966837821510","€71,79","42","2","2019-04-09 06:06:35"
"958063173-5","Oldsmobile","196","L","3579568653900077","€66,57","37","2","2019-04-18 22:36:19"
"596312559-6","Jaguar","143","L","5100173604346216","€8,37","60","1","2019-04-10 18:13:30"
"472712259-6","Mitsubishi","191","3XL","3544279963762932","€53,78","82","2","2019-04-18 06:22:34"
"719778213-9","Mazda","599","XL","3545269989806176","€2,24","74","2","2019-04-07 20:58:57"
"040532106-6","Kia","764","L","633439564329556355","€35,97","114","1","2019-04-19 05:02:35"
"707824357-9","Mitsubishi","397","XS","3588673030489601","€74,08","73","3","2019-04-20 11:58:11"
"652328707-6","Mercedes-Benz","789","XL","56022595212006659","€33,97","45","3","2019-04-15 20:19:00"
"573283314-5","BMW","798","XS","6333635684042202146","€90,59","10","3","2019-04-26 01:22:55"
"877533018-0","Dodge","478","XL","3541509991907858","€68,68","129","1","2019-04-28 03:11:52"
"113141864-6","Honda","601","L","676336343316759188","€85,84","135","1","2019-04-03 18:12:29"
"455401200-X","Land Rover","835","XL","3569989587868135","€58,79","42","2","2019-04-25 21:05:03"
"661413063-3","Honda","375","2XL","374622884144659","€90,27","98","2","2019-04-08 05:45:59"
"689562296-9","Honda","958","S","3531832643100769","€80,16","66","2","2019-04-17 20:27:34"
"879361254-0","Dodge","460","2XL","3570256700305321","€26,08","96","1","2019-04-20 14:48:14"
"967736102-3","Pontiac","625","2XL","5602231089824340774","€17,11","119","3","2019-04-26 11:18:03"
"090648000-0","Buick","309","XL","3574402772079180","€3,98","105","1","2019-04-17 17:06:41"
"514218645-1","Porsche","358","3XL","3576146422964121","€60,04","91","2","2019-04-25 09:55:39"
"912193777-X","Honda","373","M","5602249327630095590","€35,28","125","2","2019-04-20 12:25:06"
"719903274-9","MINI","394","3XL","3555438476542506","€43,74","91","1","2019-04-05 19:44:10"
"770360074-1","Pontiac","365","L","4903000982884914102","€56,91","2","2","2019-04-18 01:25:10"
"252330023-0","Lexus","86","S","5444555299794574","€56,09","82","3","2019-04-10 20:18:10"
"867992368-0","BMW","141","2XL","5602243229598773","€93,63","89","2","2019-04-25 15:46:49"
"404012197-X","Jeep","420","XL","5602259262356861","€36,61","96","3","2019-04-09 09:55:12"
"861886825-6","Dodge","106","XS","502079164648185572","€57,37","58","2","2019-04-14 15:30:37"
"928402809-4","Volkswagen","898","L","340286138614668","€66,88","109","2","2019-04-05 14:50:05"
"148672543-0","Chevrolet","292","2XL","6331101701432192122","€41,44","58","2","2019-04-05 23:45:16"
"812083642-1","Audi","760","2XL","6771215993578470822","€46,05","141","2","2019-04-26 05:43:16"
"384004593-2","Lincoln","507","XS","3547793248127452","€61,38","17","3","2019-05-02 08:07:00"
"746867566-X","Saab","17","M","5602231109473712","€56,73","64","2","2019-04-14 12:12:21"
"874109178-7","Chevrolet","748","M","3548652800736796","€28,52","53","1","2019-04-21 16:50:38"
"375664840-0","Audi","647","3XL","4905419652471846948","€17,81","142","2","2019-04-21 18:01:22"
"775406711-0","Suzuki","594","XS","201501672277468","€90,99","148","2","2019-04-16 04:33:59"
"179877732-0","Ford","665","M","6709497906784300","€76,96","65","2","2019-04-14 15:49:22"
"543568057-3","Pontiac","299","M","30120137190054","€85,50","106","1","2019-04-23 07:13:54"
"909781800-1","Chevrolet","830","M","36434499234200","€29,05","44","3","2019-04-28 21:10:50"
"044700252-X","Infiniti","77","2XL","67637917909477155","€11,64","59","3","2019-04-06 23:02:40"
"489340416-4","Ford","931","2XL","3584972062761380","€54,56","24","1","2019-04-20 01:57:40"
"980213996-3","Pontiac","370","2XL","6331109925707164","€0,89","115","3","2019-04-21 23:43:59"
"211141925-7","Scion","482","XS","4175000141713033","€42,27","13","2","2019-04-02 17:30:35"
"918378986-3","Suzuki","687","3XL","56022546807989643","€98,75","56","1","2019-04-02 06:43:56"
"752949025-7","Volkswagen","385","3XL","3557548841740573","€14,15","81","1","2019-04-01 19:48:52"
"447212967-1","Oldsmobile","333","2XL","30225577292458","€54,19","88","2","2019-05-01 04:35:02"
"596839396-3","Hyundai","381","XS","67719084685342433","€23,69","9","1","2019-04-18 17:51:56"
"526299559-4","Mazda","619","M","30486983600409","€90,45","83","3","2019-04-06 17:55:07"
"998979725-0","BMW","703","XS","3582467902078352","€82,09","48","1","2019-04-14 10:41:37"
"808172627-6","Maserati","441","XL","4845899830354","€64,31","29","3","2019-04-28 19:01:56"
"196326960-8","BMW","803","3XL","4041379280575383","€82,91","124","3","2019-04-19 17:23:25"
"643799081-3","Honda","714","M","6388644064295706","€35,80","43","2","2019-04-08 00:24:07"
"550650171-4","Bentley","353","S","67618056637537148","€48,78","42","3","2019-04-10 21:31:03"
"839603289-0","Saturn","7","3XL","3563539954171567","€29,86","98","3","2019-05-02 08:26:41"
"073287207-3","Lamborghini","996","L","6396039774773128","€17,60","91","1","2019-04-26 02:16:57"
"758120663-7","Cadillac","354","L","4272296554737","€2,18","7","1","2019-04-13 08:57:38"
"396465820-0","Porsche","265","XL","5602222231956492","€84,92","62","1","2019-04-12 21:25:13"
"846197184-1","Audi","385","2XL","5602211566194415","€31,43","26","3","2019-04-13 09:39:02"
"230335314-9","Pontiac","412","XL","3577014458565825","€90,42","88","2","2019-04-25 16:46:52"
"843004600-3","GMC","989","XS","589321773774270058","€16,52","115","1","2019-04-25 01:08:03"
"134092735-7","Ford","227","S","5203733914805239","€80,56","147","2","2019-04-06 14:52:05"
"075213218-0","Ford","453","L","337941273850486","€34,11","67","3","2019-04-30 21:12:04"
"429790916-2","Mitsubishi","517","L","3550433598061399","€39,72","144","1","2019-04-28 08:19:43"
"949648448-4","Mercedes-Benz","748","2XL","50388324737277104","€57,14","68","2","2019-04-28 13:21:06"
"827823078-1","Lexus","276","3XL","3571176433342962","€95,85","101","1","2019-04-03 03:16:00"
"179290947-0","Kia","514","L","3547788455195515","€85,36","101","2","2019-04-16 07:33:55"
"578379866-5","Toyota","485","3XL","3566378995150851","€91,15","13","2","2019-04-10 12:22:54"
"013613940-X","Mercedes-Benz","840","S","6771816198214903","€38,73","17","2","2019-04-17 08:38:22"
"412150899-8","Infiniti","351","3XL","5007662899266216","€40,72","103","1","2019-04-22 14:26:03"
"373277305-1","Audi","24","XL","5100148534749739","€42,40","138","2","2019-04-23 12:10:03"
"566765765-1","Cadillac","685","XL","6709609715270327016","€86,35","145","3","2019-04-30 18:40:35"
"993689845-1","Chevrolet","376","M","3543088454118392","€99,09","96","2","2019-04-09 02:57:03"
"011035817-1","Honda","726","S","50183660010822265","€27,93","30","3","2019-04-20 06:08:10"
"319613224-2","Nissan","132","XS","36067347155019","€23,88","60","3","2019-04-02 10:05:38"
"745002324-5","Jaguar","83","3XL","3530387081425807","€12,56","99","3","2019-04-25 05:28:48"
"881181848-6","Volkswagen","923","L","3587711866270918","€71,92","37","3","2019-04-19 19:41:39"
"746441255-9","Toyota","506","M","5108758169541052","€16,29","27","2","2019-04-27 04:01:27"
"358571778-0","Subaru","477","L","5048375497837954","€17,01","41","3","2019-04-23 11:07:35"
"828469976-1","Mitsubishi","313","M","5434430877507735","€89,45","77","1","2019-04-13 15:03:24"
"951662020-5","Audi","36","L","3536260570800448","€97,19","118","2","2019-04-07 14:48:45"
"436684430-3","Mercury","200","S","3563312498915505","€86,07","108","1","2019-04-27 03:58:47"
"986731672-X","BMW","288","M","5602230437042579","€20,13","90","3","2019-04-22 01:29:01"
"444522258-5","Subaru","268","3XL","4508140095506146","€79,93","96","2","2019-05-01 06:11:39"
"183392348-0","Acura","205","XS","3583836986070528","€23,14","91","3","2019-04-03 00:49:47"
"852478986-7","Chevrolet","206","2XL","6375999635975466","€36,31","94","1","2019-04-19 15:03:14"
"808768749-3","Honda","572","2XL","374283249647983","€80,52","70","3","2019-04-04 02:09:45"
"612171990-7","Ford","473","XL","201873205664821","€36,09","12","1","2019-04-30 07:58:54"
"062960204-2","Ford","264","S","3567564963847409","€23,86","135","1","2019-05-01 22:38:15"
"019609436-4","Toyota","30","S","5641823045035739","€16,12","72","1","2019-04-05 12:15:20"
"323415010-9","BMW","782","2XL","3528388442132672","€16,68","10","3","2019-04-13 23:09:02"
"642639742-3","BMW","854","3XL","3578431454695209","€52,36","24","2","2019-04-24 13:36:30"
"996920809-8","Mercury","94","S","5602259093902644","€40,38","9","3","2019-04-25 02:24:27"
"138137474-3","Cadillac","838","M","3556729855783706","€95,99","24","1","2019-05-01 06:47:23"
"336545283-4","Mitsubishi","701","L","3556276834133058","€2,11","99","1","2019-04-28 21:46:07"
"279267900-X","Mazda","93","M","3539828547489789","€79,29","33","1","2019-04-27 23:13:10"
"241469120-4","Toyota","979","L","4905227010803125055","€9,12","62","1","2019-04-18 03:58:30"
"918486394-3","Cadillac","167","S","3575314884001334","€47,84","60","3","2019-04-09 20:04:19"
"321531574-2","Chevrolet","752","L","3587673459346069","€4,13","146","3","2019-04-06 01:06:38"
"022909471-6","Saturn","767","3XL","3541369937987799","€57,36","75","1","2019-04-18 15:33:33"
"048193180-5","GMC","435","M","3583165456250851","€92,56","44","1","2019-04-02 04:07:08"
"569614488-8","Chrysler","993","3XL","633365590683882473","€66,65","143","2","2019-04-26 01:29:39"
"968805466-6","Volkswagen","8","3XL","374288878876142","€51,12","114","2","2019-04-14 15:24:41"
"135203001-2","Jaguar","6","2XL","3541338507219834","€47,62","119","3","2019-04-13 02:12:57"
"157245847-X","Porsche","854","M","4911820509169074111","€7,63","75","3","2019-04-04 01:37:48"
"717081956-2","Suzuki","25","3XL","374283879712545","€45,60","68","2","2019-04-06 15:13:04"
"663147368-3","Geo","230","XL","3586120652271976","€77,88","77","2","2019-04-17 02:57:44"
"010376456-9","Mercedes-Benz","437","L","30352893538388","€0,35","114","1","2019-04-04 02:02:38"
"141162991-4","Nissan","391","M","3534700544495678","€51,43","5","1","2019-04-11 00:53:28"
"757585075-9","Audi","378","S","3547588791107913","€55,23","11","3","2019-05-02 13:45:18"
"344208818-6","Ford","92","L","3571167509707857","€71,02","40","1","2019-05-02 23:36:45"
"754423285-9","BMW","68","S","3542302711419530","€44,95","12","2","2019-04-03 21:00:47"
"521673703-0","Ford","710","XS","3569916030138394","€65,87","40","1","2019-04-19 00:22:30"
"547759218-4","Audi","41","L","3584657007643450","€5,80","148","3","2019-04-17 06:09:02"
"105375146-X","Volkswagen","581","XS","4844632975606775","€54,20","134","2","2019-04-03 20:14:07"
"977282264-4","Scion","380","S","5559956441183065","€53,68","5","2","2019-04-17 04:40:11"
"796548616-4","Porsche","295","L","3531111990893627","€78,49","130","2","2019-04-19 17:10:22"
"495084032-0","GMC","993","2XL","4936955652846946667","€9,39","129","1","2019-04-30 16:36:10"
"485206573-X","GMC","47","L","3581199478400329","€13,68","33","3","2019-04-22 21:37:40"
"616858991-0","Cadillac","77","L","30450232767500","€49,26","145","1","2019-04-27 22:18:36"
"781627070-4","Lexus","667","3XL","6706449199349831","€70,95","128","1","2019-04-04 17:25:04"
"220670426-9","Chevrolet","976","L","337941498020667","€53,84","125","2","2019-04-18 10:24:20"
"922792801-4","Mazda","557","S","6331104745655842","€91,95","24","1","2019-04-23 19:02:54"
"608456331-7","Chevrolet","281","S","56022424868766955","€14,82","149","2","2019-04-04 11:39:35"
"115847792-9","Audi","226","M","67639253083231632","€71,20","37","2","2019-04-11 23:07:56"
"819499235-4","Acura","555","XL","5253520458411790","€27,18","22","1","2019-04-30 18:57:25"
"362763865-4","Pontiac","527","L","3560799505892847","€8,75","118","2","2019-04-13 05:11:20"
"615250432-5","Buick","373","XS","5610253779355508","€45,56","27","3","2019-04-26 23:20:07"
"272798546-0","BMW","209","3XL","676330067870716237","€13,36","135","2","2019-04-11 06:46:53"
"688654606-6","Lincoln","703","XL","3539142239422938","€60,45","130","3","2019-04-02 01:35:15"
"984350819-X","Ford","448","XS","3551584116329814","€27,48","18","3","2019-04-13 04:23:52"
"028422885-0","BMW","483","3XL","5100149643182556","€93,40","147","2","2019-04-15 10:02:22"
"702894324-0","Oldsmobile","756","XS","3546945821110039","€93,42","130","3","2019-04-04 04:29:30"
"498015007-1","Mercedes-Benz","726","2XL","3562786765157241","€83,46","59","1","2019-04-20 12:14:07"
